sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020.0,0.0736600820488668,0.007201329551431303,0.39895131216696433,0.07085349284004425
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,0.07551408395688401,0.008134735384398009,0.3122724950224619,0.36604397519173126
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.06615897488624178,0.0077675150502427605,0.3672853999299014,0.0869715293305704
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,0.06535668159123667,0.00888896084916738,0.34976240539752396,0.05606138739740047
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,0.062443971058861555,0.010345236624689962,0.36820391039941397,0.1843387317431015
"Производство готовых металлических изделий, кроме машин и оборудования",25,2017.0,0.04624059551393785,0.2790255866134975,0.27462938507608775,0.007367552753931591
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018.0,0.04716922754692525,0.26817891005190403,0.27739565070060745,0.0031570131453322386
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019.0,0.050537011022244324,0.27201892962684654,0.3385813928509797,0.0013156798317877634
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020.0,0.05523819731986383,0.26245695347379516,0.3219169670791621,0.0012526130573708796
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.05507160908786619,0.23821037841948065,0.3519125666966576,0.004809346009682477
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022.0,0.053032245902239115,0.17996092921312146,0.4298551158374864,0.014899649051378494
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.06155342759706054,0.18105331768111513,0.37138967442673043,0.004217416082926597
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.06902312024125444,0.17451858962493705,0.3066420732124476,0.006784628554376373
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2017.0,0.024908098555723172,0.4590802829648455,0.2601977282604057,0.005068273935806322
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018.0,0.02453815718139985,0.486958502324024,0.26898553172039275,0.001680289494722243
