sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
"Производство машин и оборудования, не включенных в другие группировки",28,2023.0,0.03049203063077689,0.11462157463237586,0.5106596098375644,0.026676187712550987
"Производство машин и оборудования, не включенных в другие группировки",28,2024.0,0.030590671212100004,0.18995779960733403,0.4272532393914504,0.2316426431186845
Производство машин и оборудования общего назначения,28.1,2017.0,0.007413486342991107,0.05169517667288546,0.9889874103139843,0.015048567575371007
Производство машин и оборудования общего назначения,28.1,2018.0,0.007573851916416197,0.05280162976146914,0.8926991384561651,0.0009253905296502549
Производство машин и оборудования общего назначения,28.1,2019.0,0.007682508706515919,0.07207426632528229,0.3367058413538157,0.11414867126270486
Производство машин и оборудования общего назначения,28.1,2021.0,0.007759974746752995,0.031177140353917634,0.6094051099734372,0.045327051287851555
Производство машин и оборудования общего назначения,28.1,2024.0,0.008661046575995665,0.2669696440896345,0.31761359040057824,0.5627133459385011
Производство прочих машин и оборудования общего назначения,28.2,2017.0,0.006254699901223746,0.020055010635154507,0.5512696206235063,0.013505194430108917
Производство прочих машин и оборудования общего назначения,28.2,2019.0,0.007254906914388532,0.030694841395943334,0.5012888535372513,0.07852963310328266
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2017.0,0.002582171953039619,0.01774089126781522,0.14558369433901908,0.008011018703779531
Производство прочих машин специального назначения,28.9,2017.0,0.00596432361815874,0.15403120572541038,0.5247947855572412,0.0175847963379358
Производство прочих машин специального назначения,28.9,2018.0,0.006729289574489058,0.07605576477534673,0.5266315194505146,0.011705610052129898
Производство прочих машин специального назначения,28.9,2019.0,0.007108523567943912,0.16378266309956346,0.6025390729393846,0.0023146696289024337
Производство прочих машин специального назначения,28.9,2020.0,0.0080696419401266,0.22361197012528317,0.5631882169683693,0.004864324132896246
Производство прочих машин специального назначения,28.9,2021.0,0.007249955698843597,0.4391284117910605,0.5196190957970762,0.026591873089313676
"Производство автотранспортных средств, прицепов и полуприцепов",29,2017.0,0.04281744196849968,0.028754675546572774,0.30434917137001494,0.024856496596233353
"Производство автотранспортных средств, прицепов и полуприцепов",29,2018.0,0.04909655274081483,0.04011895458652373,0.32750816088443707,0.014808006195500325
Производство автотранспортных средств,29.1,2017.0,0.03277518330357982,0.0375517635237879,0.3043827449412686,0.024865296352090817
Производство автотранспортных средств,29.1,2018.0,0.038121363145329344,0.05108026678110119,0.32481888315959273,0.014978751515805445
