region,okato,year,VDS_r,ITusage_r,AIusage_r,BDusage_r
Сахалинская область,64,2023,0.14905186510945095,0.14043893317586853,0.11180124223602485,0.12097669256381798
Сахалинская область,64,2024,0.12957657548748605,0.14634386379293376,0.13198757763975155,0.0784313725490196
Свердловская область,65,2021,0.39341444642471607,0.6903848046452121,0.765527950310559,1.0
Свердловская область,65,2023,0.3936088536358057,0.7059344552701505,0.6692546583850931,0.611542730299667
Свердловская область,65,2024,0.3666822831113365,0.7430371026473772,0.5885093167701864,0.3166851646318905
Смоленская область,66,2021,0.053940149944904724,0.19988190138765868,0.4083850931677019,0.16722160562338143
Смоленская область,66,2022,0.051133806228373706,0.18639897647869305,0.1956521739130435,0.21124676285608582
Смоленская область,66,2023,0.05234867263438865,0.18915461076665682,0.14906832298136646,0.09618941916389197
Смоленская область,66,2024,0.050616785193293094,0.16858576911721287,0.19099378881987578,0.059563448020717724
Тамбовская область,68,2021,0.055570640688781765,0.19112292097234523,0.20186335403726707,0.15501294857565667
Тамбовская область,68,2022,0.047767962592113536,0.19072925893120757,0.2593167701863354,0.23455419903810582
Тамбовская область,68,2023,0.04892602679411129,0.16553488829839583,0.19254658385093168,0.10580836108028117
Тамбовская область,68,2024,0.044831254724038885,0.16710953646294657,0.2096273291925466,0.0732519422863485
Томская область,69,2021,0.09109696759671414,0.17508119279598464,0.2096273291925466,0.2153163152053274
Томская область,69,2022,0.08611320793637246,0.17222714299773645,0.27639751552795033,0.24824269330373658
Томская область,69,2023,0.08565289861425619,0.17803365810451727,0.19099378881987578,0.13022567517573067
Томская область,69,2024,0.0847243594521911,0.18010038382049012,0.16770186335403728,0.06326304106548279
Ставропольский край,7,2021,0.13197931366305019,0.33579372109044386,0.34937888198757766,0.38179800221975585
Ставропольский край,7,2022,0.12548728718410013,0.3477019978348588,0.5232919254658385,0.4443211246762856
Ставропольский край,7,2023,0.1278331326369146,0.3458321031394548,0.2919254658385093,0.22345541990381057
Ставропольский край,7,2024,0.12325215485693959,0.35390217498277726,0.30124223602484473,0.10432852386237514
Тульская область,70,2021,0.11219773304646968,0.21572679854345045,0.31211180124223603,0.31076581576026635
Тульская область,70,2022,0.10655468060926794,0.21572679854345045,0.33695652173913043,0.3858675545689974
Тульская область,70,2023,0.10791009830378119,0.2131679952760555,0.20496894409937888,0.19311875693673697
Тульская область,70,2024,0.1007971956830637,0.22005708099596497,0.19099378881987578,0.1069182389937107
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,0.19728783884176704,0.2637535675622478,0.35093167701863354,0.3470218275989641
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,0.18191523197179307,0.2580454679657514,0.2717391304347826,0.4361820199778024
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,0.17990664436592024,0.25499458714693435,0.2453416149068323,0.22086570477247502
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,0.1709960137512258,0.26454089164452316,0.2717391304347826,0.13466518682944875
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,0.7099462255677633,0.32290128924318473,0.3804347826086957,0.4835368109507954
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,0.7228809951762823,0.3151264639307155,0.2686335403726708,0.5527192008879024
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,0.795673402079163,0.308926286782797,0.2701863354037267,0.26674065852756196
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,0.7673263552415445,0.32575533904143295,0.2204968944099379,0.14724380318165
Ямало-Ненецкий автономный округ (Тюменская область),7114,2021,0.523278575921219,0.17645900993996655,0.15993788819875776,0.26230114687384387
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,0.5553652450487953,0.1782304891250861,0.11645962732919254,0.2782093969663337
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,0.5000819429483514,0.17035724830233245,0.11180124223602485,0.1365149833518313
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,0.48944430046760506,0.17232555850802087,0.12888198757763975,0.07547169811320754
Ульяновская область,73,2021,0.0645693214493863,0.18157661647475642,0.14440993788819875,0.14798372179060304
Ульяновская область,73,2022,0.06256729917773561,0.18197027851589412,0.2981366459627329,0.2241953385127636
Ульяновская область,73,2023,0.06321781535079775,0.1828560181084539,0.2608695652173913,0.11468738438771735
Ульяновская область,73,2024,0.060421886556635745,0.18925302627694124,0.17236024844720496,0.0732519422863485
Челябинская область,75,2021,0.2608226857182142,0.46570219466587937,0.6195652173913043,0.6111727709951905
Челябинская область,75,2022,0.2368351258127986,0.4654069481350261,0.5885093167701864,0.40066592674805773
Челябинская область,75,2023,0.24296467274407713,0.4682609979332743,0.38819875776397517,0.19644839067702552
Челябинская область,75,2024,0.22802277657811384,0.4980808975494538,0.4332298136645963,0.121716611172771
Забайкальский край,76,2021,0.06494761866438072,0.19063084342092312,0.14130434782608695,0.2493525712171661
Забайкальский край,76,2022,0.05945816029559497,0.18974510382836335,0.2080745341614907,0.2685904550499445
