sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
Производство электрического оборудования,27,2022.0,0.019784481681877797,1.0,0.00022203183875908031,0.00022740848118154403
Производство электрического оборудования,27,2023.0,0.022251274639933958,0.0993412379228411,0.03921239452786689,0.0024322457963571113
Производство электрического оборудования,27,2024.0,0.02218723149925492,0.12796273881405046,0.021793719526658973,0.0021308950529464817
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022.0,0.007240261618468455,0.28471185280543926,0.0008831587006608926,0.0007862815663832806
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023.0,0.008704101404585886,0.1589406816145557,0.004571870366064977,0.0029127165366715276
Производство кабелей и кабельной арматуры,27.3,2021.0,0.00677320221461322,0.05734292832246322,0.007838404518189616,0.0028657905649650223
Производство прочего электрического оборудования,27.9,2023.0,0.0030754979628399588,0.09041159665885815,0.27844318113457656,0.0010921852014626509
Производство прочего электрического оборудования,27.9,2024.0,0.0029911570018430686,0.10881004369608512,0.11806566607458366,0.0012509464508985604
"Производство машин и оборудования, не включенных в другие группировки",28,2021.0,0.027344912607632756,0.16724728350711263,0.031367186540119746,0.0018261949216673047
"Производство машин и оборудования, не включенных в другие группировки",28,2022.0,0.026962788253124988,0.13870832790539175,0.2944857624438967,0.0029573280684521983
"Производство машин и оборудования, не включенных в другие группировки",28,2023.0,0.03049203063077689,0.13253542967461654,0.013630175800826884,0.0026605456038930504
"Производство машин и оборудования, не включенных в другие группировки",28,2024.0,0.030590671212100004,0.17164946154027197,0.019528929850671926,0.0034727897876182683
Производство машин и оборудования общего назначения,28.1,2021.0,0.007759974746752995,0.19935825108395935,0.05786006475245469,0.0007995984993580633
Производство машин и оборудования общего назначения,28.1,2022.0,0.00791267109588934,0.18249065861294186,0.7503817675209246,0.002718209851568996
Производство машин и оборудования общего назначения,28.1,2023.0,0.009182110550390773,0.1654904571659952,0.0038972674934494226,0.0016511066239960704
Производство прочих машин и оборудования общего назначения,28.2,2023.0,0.007812988546138403,0.08456636092378966,0.017836099778240053,0.0030701313139766917
Производство прочих машин специального назначения,28.9,2021.0,0.007249955698843597,0.18601961170167713,0.030415302273927605,0.0034582510957089146
Производство прочих машин специального назначения,28.9,2022.0,0.00785136001624422,0.1488571103934331,0.002089291035248337,0.0027466079471650437
Производство прочих машин специального назначения,28.9,2023.0,0.009534206483125791,0.13503256474011865,0.00340461446098123,0.003266047935890776
Производство прочих машин специального назначения,28.9,2024.0,0.010357931879803812,0.18137372387644,0.0259043902695517,0.0035733698533673888
"Производство автотранспортных средств, прицепов и полуприцепов",29,2021.0,0.051370811158937296,0.11501258749212527,0.0010383686913373552,0.021227648035687517
