region,okato,year,VDS_r,AIusage_r,BDusage_r
Хабаровский край,8,2021,0.12954841282914747,0.29729282276113683,0.4120193881405011
Хабаровский край,8,2022,0.11392132377563148,0.20315499300012993,0.39774999788334703
Хабаровский край,8,2023,0.11973341787842169,0.14829736170607286,0.19080927206181375
Хабаровский край,8,2024,0.12220259845795012,0.21756819418963327,0.08885627949333554
Республика Башкортостан,80,2021,0.2546775591883208,0.38498779323103366,0.4082823712253975
Республика Башкортостан,80,2022,0.23554522191508598,0.48950412179520064,0.46807092738733774
Республика Башкортостан,80,2023,0.2310579606983139,0.3850350678429224,0.2354882915412359
Республика Башкортостан,80,2024,0.23160267593508452,0.4354752796474747,0.13560349970172997
Республика Бурятия,81,2021,0.045051537724142006,0.25723768407202174,0.4304095375062163
Республика Бурятия,81,2022,0.047401372297328354,0.4376567462956774,0.49930521323225735
Республика Бурятия,81,2023,0.047204084732794666,0.4909689287944508,0.26339455263705036
Республика Бурятия,81,2024,0.04464965542758997,0.38219942117132943,0.16463913739276437
Республика Дагестан,82,2021,0.09979513803945773,0.3570783752235873,0.4161259871030036
Республика Дагестан,82,2022,0.09199120180386029,0.3333301759005788,0.4339036913143257
Республика Дагестан,82,2023,0.09284222936398843,0.3166616708774034,0.22419553367328998
Республика Дагестан,82,2024,0.08750381881937361,0.3509730822696828,0.14680851063829786
Кабардино-Балкарская Республика,83,2021,0.02668065586460581,0.3334063656550703,0.34084741641337385
Кабардино-Балкарская Республика,83,2022,0.026016345185802862,0.4716634307181508,0.3638474784167571
Кабардино-Балкарская Республика,83,2023,0.02719934910452629,0.5290450750355714,0.2133667732333811
Кабардино-Балкарская Республика,83,2024,0.026727958315293315,0.5803489389927636,0.20295929985934674
Республика Алтай,84,2021,0.009371071198145647,0.37471658420663057,0.29085746280595104
Республика Алтай,84,2022,0.009460279005228613,0.47957731529165715,0.3105478965550641
Республика Алтай,84,2023,0.010034714447580181,0.3401375079170069,0.14334910538025256
Республика Алтай,84,2024,0.010131838583381193,0.29757383804062054,0.06480049245533179
Республика Калмыкия,85,2021,0.01280223231862491,0.3029679257392421,0.29217554798483
Республика Калмыкия,85,2022,0.012606846921378218,0.5277062455400081,0.3885590521085489
Республика Калмыкия,85,2023,0.01557087022090768,0.6214811640500215,0.19890897456406975
Республика Калмыкия,85,2024,0.016782831128814044,0.5036313093089596,0.1261893377958403
Республика Карелия,86,2021,0.05616643421917068,0.42286478355340135,0.2920384351407001
Республика Карелия,86,2022,0.04157692342457688,0.29571493966152074,0.13261639469311032
Республика Карелия,86,2023,0.039872011139301396,0.34958473818577446,0.10290839120626355
Республика Карелия,86,2024,0.03702930420048889,0.4177127290208857,0.0694691818381224
Республика Коми,87,2021,0.10873209047096906,0.3561164183937824,0.21752462184175533
Республика Коми,87,2022,0.10227184392844091,0.2514709756740142,0.2979715109989181
Республика Коми,87,2023,0.0955362810434772,0.20483101277738214,0.1531091391885987
Республика Коми,87,2024,0.09268188684244373,0.2051813471502591,0.08425531914893618
Республика Марий Эл,88,2021,0.028575646054440237,0.4320654175772905,0.3098981546838762
Республика Марий Эл,88,2022,0.026786264020844414,0.7106782281634573,0.4319109129629998
Республика Марий Эл,88,2023,0.028567766885747494,0.5343050731651768,0.2114069441197101
Республика Марий Эл,88,2024,0.027400625147007654,0.6067076213896173,0.15734992733912137
Республика Мордовия,89,2021,0.03819609260236271,0.3355796433453066,0.2858112517948049
Республика Мордовия,89,2022,0.035792030294872726,0.475398209063689,0.35845827176080686
Республика Мордовия,89,2023,0.037089757273072656,0.40987350171535064,0.1810604962606528
Республика Мордовия,89,2024,0.0368293853854024,0.45524536763681483,0.11743740975835673
Республика Северная Осетия-Алания,90,2021,0.024833475258878298,0.3977565580663538,0.44916870892280275
Республика Северная Осетия-Алания,90,2022,0.023358941249789347,0.579198240843763,0.5280069750466355
Республика Северная Осетия-Алания,90,2023,0.024790616494235636,0.5752263209854239,0.28438435653533295
Республика Северная Осетия-Алания,90,2024,0.024819313357930844,0.5195240926575336,0.21918132443071403
Карачаево-Черкесская Республика,91,2021,0.013590326675616835,0.39326424870466326,0.48079787234042554
Карачаево-Черкесская Республика,91,2022,0.013051576791002148,0.627206591155561,0.53143400544285
Карачаево-Черкесская Республика,91,2023,0.013619489173606848,0.5094559585492228,0.27159574468085107
Карачаево-Черкесская Республика,91,2024,0.012582390907289685,0.47147335881377117,0.15664405965849412
Республика Татарстан (Татарстан),92,2021,0.44600975097628526,0.454472381569208,0.41861023664785063
Республика Татарстан (Татарстан),92,2022,0.44013278163704367,0.5193079579132747,0.4168737968093476
Республика Татарстан (Татарстан),92,2023,0.434673328052323,0.362501251245287,0.21257070993755997
Республика Татарстан (Татарстан),92,2024,0.4219729169909364,0.28819717032152264,0.11606893402106169
Республика Тыва,93,2021,0.0116289524954319,0.17729638877636775,0.2023970307107922
Республика Тыва,93,2022,0.01147998322696642,0.27787935296940397,0.21797535606495225
Республика Тыва,93,2023,0.01158719641689496,0.13070366037105133,0.07752611911843209
Республика Тыва,93,2024,0.011732616599031883,0.0719256829260815,0.017721264006043055
Удмуртская Республика,94,2021,0.10913445141863104,0.3735094898258453,0.21930263233354363
Удмуртская Республика,94,2022,0.10230060936641651,0.4577866558486574,0.26342597473799634
Удмуртская Республика,94,2023,0.10376828149459034,0.276533263633708,0.12774954226908264
Удмуртская Республика,94,2024,0.10826275485670786,0.3332578924051852,0.07538262279522265
Республика Хакасия,95,2021,0.039535049153178015,0.354751050723832,0.3663281892064652
Республика Хакасия,95,2022,0.0365066693258395,0.3268689859363435,0.2894224924012158
Республика Хакасия,95,2023,0.03520175135659012,0.38998704663212436,0.18406117021276594
Республика Хакасия,95,2024,0.030521966467000193,0.33151201130475744,0.07528486020749077
Чеченская Республика,96,2021,0.03484821327145462,0.5407930633393254,0.7202006079027357
Чеченская Республика,96,2022,0.033103927549030555,1.0,1.0
Чеченская Республика,96,2023,0.03645380104906976,0.8450306170513425,0.5185962973197016
Чеченская Республика,96,2024,0.041675668974115454,0.6459966761169226,0.37514652749899635
Чувашская Республика - Чувашия,97,2021,0.051279900897050805,0.3985913042532717,0.3496137616931973
Чувашская Республика - Чувашия,97,2022,0.05244965075102483,0.495385953632616,0.47971734741419475
Чувашская Республика - Чувашия,97,2023,0.05692781626100603,0.4086535670005909,0.24924543121221898
