sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023.0,0.0022603682735135243,0.12,0.008712646711626729
Производство кабелей и кабельной арматуры,27.3,2018.0,0.013686367227720686,0.04,0.01333823115083257
Производство кабелей и кабельной арматуры,27.3,2020.0,0.01439166055298599,0.05333333333333334,0.0009308230829859093
Производство кабелей и кабельной арматуры,27.3,2021.0,0.01807592657859093,0.05333333333333334,0.0034486816906029666
Производство кабелей и кабельной арматуры,27.3,2022.0,0.01732066781813622,0.10666666666666667,0.012528664714672412
Производство кабелей и кабельной арматуры,27.3,2023.0,0.017994942905670906,0.09333333333333334,0.0070186200280316835
Производство кабелей и кабельной арматуры,27.3,2024.0,0.01769042294508305,0.13333333333333333,0.014090735635545316
Производство электрических ламп и осветительного оборудования,27.4,2020.0,0.003172833889499926,0.02666666666666667,0.002139823179277952
Производство электрических ламп и осветительного оборудования,27.4,2021.0,0.0025895820153592594,0.02666666666666667,0.0022111506185872173
Производство электрических ламп и осветительного оборудования,27.4,2022.0,0.0026063744341045963,0.04,0.0023181417775511148
Производство электрических ламп и осветительного оборудования,27.4,2023.0,0.0030862354739574207,0.04,0.0027461064134067055
Производство электрических ламп и осветительного оборудования,27.4,2024.0,0.0032060016241371473,0.04,0.0028174338527159706
Производство бытовых приборов,27.5,2021.0,0.00794240186507536,0.013333333333333334,0.00024964603758242774
Производство прочего электрического оборудования,27.9,2018.0,0.00583498681727485,0.16,0.026284161385464182
Производство прочего электрического оборудования,27.9,2019.0,0.005914221335502034,0.13333333333333333,0.015406726890801256
Производство прочего электрического оборудования,27.9,2020.0,0.007187370012807194,0.12,0.00506424819095782
Производство прочего электрического оборудования,27.9,2021.0,0.007058994627729681,0.12,0.004465097700759994
Производство прочего электрического оборудования,27.9,2022.0,0.006679058261229684,0.09333333333333334,0.0037482569357018794
Производство прочего электрического оборудования,27.9,2023.0,0.008207709382861774,0.08,0.003958672881664212
Производство прочего электрического оборудования,27.9,2024.0,0.007982625150877914,0.09333333333333334,0.010449469858807334
"Производство машин и оборудования, не включенных в другие группировки",28,2018.0,0.06420042619217262,0.5333333333333333,0.15613576464798126
"Производство машин и оборудования, не включенных в другие группировки",28,2019.0,0.06631356338301046,0.6133333333333333,0.20816913162409012
"Производство машин и оборудования, не включенных в другие группировки",28,2020.0,0.0754236737720989,0.6533333333333333,0.12799352346851073
"Производство машин и оборудования, не включенных в другие группировки",28,2021.0,0.07297650607966988,0.7066666666666667,0.17737350970231494
"Производство машин и оборудования, не включенных в другие группировки",28,2022.0,0.07195671491485402,0.7066666666666667,0.18166385517676722
"Производство машин и оборудования, не включенных в другие группировки",28,2023.0,0.08137535089752862,0.8133333333333334,0.19787658213176315
"Производство машин и оборудования, не включенных в другие группировки",28,2024.0,0.08163859712127479,0.8,0.213664910822869
Производство машин и оборудования общего назначения,28.1,2018.0,0.020212653752295688,0.21333333333333335,0.11259036294967492
Производство машин и оборудования общего назначения,28.1,2019.0,0.0205026306491718,0.24,0.11526514192377237
Производство машин и оборудования общего назначения,28.1,2020.0,0.021852861100423605,0.26666666666666666,0.032186506988305864
Производство машин и оборудования общего назначения,28.1,2021.0,0.02070936749406305,0.29333333333333333,0.03801039240790736
Производство машин и оборудования общего назначения,28.1,2022.0,0.021116874594597042,0.30666666666666664,0.054733110553964556
Производство машин и оборудования общего назначения,28.1,2023.0,0.024504680487358915,0.29333333333333333,0.0520404997200398
Производство машин и оборудования общего назначения,28.1,2024.0,0.023114095377764248,0.29333333333333333,0.05759334087026609
Производство прочих машин и оборудования общего назначения,28.2,2019.0,0.01936147195429443,0.08,0.026926108339247565
Производство прочих машин и оборудования общего назначения,28.2,2020.0,0.021833637501270868,0.06666666666666667,0.018045842145244063
Производство прочих машин и оборудования общего назначения,28.2,2021.0,0.02080653508629376,0.05333333333333334,0.015299735731837358
Производство прочих машин и оборудования общего назначения,28.2,2022.0,0.0189794227106802,0.05333333333333334,0.016843974792882948
Производство прочих машин и оборудования общего назначения,28.2,2023.0,0.020850847626351927,0.10666666666666667,0.019975249378559684
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2020.0,0.008357283476158689,0.02666666666666667,0.00035663719654632537
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2021.0,0.010488336859066267,0.013333333333333334,0.0009629204306750785
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2023.0,0.008603486307120272,0.04,0.001854513422040892
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2024.0,0.006603021612408365,0.02666666666666667,0.0022789116859310192
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2020.0,0.0018441024761799805,0.013333333333333334,0.000534955794819488
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2021.0,0.001623965825145032,0.013333333333333334,0.00017831859827316268
Производство прочих машин специального назначения,28.9,2018.0,0.017958735088715743,0.25333333333333335,0.04251115382832198
Производство прочих машин специального назначения,28.9,2019.0,0.018970812626723697,0.25333333333333335,0.06497929721074049
Производство прочих машин специального назначения,28.9,2020.0,0.021535789218065756,0.28,0.07686958134359498
Производство прочих машин специального назначения,28.9,2021.0,0.019348258439352867,0.3333333333333333,0.12292214253362196
Производство прочих машин специального назначения,28.9,2022.0,0.020953251165234745,0.30666666666666664,0.10890986708131685
Производство прочих машин специального назначения,28.9,2023.0,0.025444333553527133,0.36,0.12372100985388573
Производство прочих машин специального назначения,28.9,2024.0,0.02764264379430929,0.37333333333333335,0.12983733777465523
"Производство автотранспортных средств, прицепов и полуприцепов",29,2018.0,0.13102601317441462,0.13333333333333333,0.10306814980188804
"Производство автотранспортных средств, прицепов и полуприцепов",29,2019.0,0.13472592026757216,0.13333333333333333,0.12029372639507555
"Производство автотранспортных средств, прицепов и полуприцепов",29,2020.0,0.12269577312823055,0.13333333333333333,0.1403117722372208
"Производство автотранспортных средств, прицепов и полуприцепов",29,2021.0,0.1370954212452427,0.12,0.14239096709308588
"Производство автотранспортных средств, прицепов и полуприцепов",29,2022.0,0.06915284664347099,0.21333333333333335,0.24029501028898312
"Производство автотранспортных средств, прицепов и полуприцепов",29,2023.0,0.07703683664271226,0.16,0.14498728588394313
