sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s,researchers_s
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020.0,0.02795956205134594,0.0768025078369906,0.20873122236179145,0.1898875603204412
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.03551038913341782,0.10188087774294671,0.24553235800906836,0.23154333166932117
Производство строительных металлических конструкций и изделий,25.1,2020.0,0.013197295535730165,0.001567398119122257,5.603522747967555e-05,4.754320488744146e-05
Производство строительных металлических конструкций и изделий,25.1,2021.0,0.013958135248413573,0.001567398119122257,1.8678409159891853e-05,1.584773496248049e-05
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018.0,0.0012480397297015811,0.006269592476489028,0.0009806164808943223,0.0011410369172985952
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019.0,0.0013973006595727826,0.004702194357366771,0.005024492064010908,0.005134666127843678
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020.0,0.0016019734672953281,0.004702194357366771,0.004962853313783265,0.005087122922956236
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021.0,0.0017004181139965613,0.004702194357366771,0.0025757526231490863,0.0020998248825286644
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020.0,0.0015607441369639918,0.001567398119122257,0.007191187526558363,0.006584733876910643
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021.0,0.0017440841283723658,0.001567398119122257,0.012253036408889055,0.010792307509449211
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018.0,0.006651571121901951,0.006269592476489028,0.000635065911436323,0.000554670723686817
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019.0,0.007584199595619532,0.007836990595611285,0.0006630835251761608,0.0005625945911680574
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020.0,0.008773006214130265,0.009404388714733543,0.020546250075881036,0.01660842624067955
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021.0,0.009355848483058538,0.006269592476489028,0.0026803517144444807,0.00227414996711595
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022.0,0.0087399145273987,0.009404388714733543,0.003773038650298154,0.0035261210291519084
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023.0,0.010300784566849581,0.004702194357366771,0.0022404751787290277,0.0026782672086592026
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024.0,0.011193979097920134,0.004702194357366771,0.00197057216636859,0.0018779565930539378
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019.0,0.0008224028369473603,0.006269592476489028,0.00050431704731708,0.00042788884398697316
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020.0,0.0009219272767426181,0.003134796238244514,0.00020546250075881037,0.00017432508458728536
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021.0,0.0008399912096343423,0.003134796238244514,0.00023348011449864816,0.00022186828947472683
"Производство компьютеров, электронных и оптических изделий",26,2018.0,0.02613338811530003,0.2304075235109718,0.1710008358588099,0.16705097423950682
"Производство компьютеров, электронных и оптических изделий",26,2019.0,0.02829700540171172,0.22413793103448276,0.1727285887060999,0.1667340195402572
"Производство компьютеров, электронных и оптических изделий",26,2020.0,0.028739537853304034,0.24294670846394983,0.22540730605974288,0.20925349244459235
"Производство компьютеров, электронных и оптических изделий",26,2021.0,0.02690536256765056,0.2445141065830721,0.21821425069226855,0.20206654463910745
"Производство компьютеров, электронных и оптических изделий",26,2022.0,0.026218697134884877,0.274294670846395,0.2569812889036241,0.25250988502468286
"Производство компьютеров, электронных и оптических изделий",26,2023.0,0.031322254540208705,0.28056426332288403,0.2591573235707515,0.2620106021346899
"Производство компьютеров, электронных и оптических изделий",26,2024.0,0.03601560718191255,0.3275862068965517,0.3206485143660314,0.32582150696111756
Производство электрического оборудования,27,2018.0,0.01928544118084027,0.06583072100313479,0.023758936451382436,0.024508522119476073
Производство электрического оборудования,27,2019.0,0.01940066415656455,0.07210031347962383,0.01921074382094877,0.018446763496327286
Производство электрического оборудования,27,2020.0,0.02074358387477774,0.07836990595611286,0.02078906939495963,0.020665446391074555
Производство электрического оборудования,27,2021.0,0.02169572123870479,0.07366771159874608,0.0236095091781033,0.02270980420123454
Производство электрического оборудования,27,2022.0,0.019784481681877797,0.08620689655172414,0.017385863246027335,0.01779700636286559
Производство электрического оборудования,27,2023.0,0.022251274639933958,0.08150470219435736,0.02175100746669406,0.023597277359133445
Производство электрического оборудования,27,2024.0,0.02218723149925492,0.08620689655172414,0.02463868952281334,0.026434021917417453
