sector,okved2,year,factoriescap_s,ITusage_s,AIusage_s,BDusage_s
Производство одежды,14,2024.0,0.0057775811029005,0.016658473974548,0.0095497953615279,0.0044263456090651
"Производство одежды, кроме одежды из меха",14.1,2021.0,0.0035887906324172,0.0129444535474356,0.0190995907230559,0.0136331444759206
"Производство одежды, кроме одежды из меха",14.1,2023.0,0.0047686242769793,0.0145829919711617,0.0081855388813096,0.0102691218130311
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.0054915539891614,0.0155661150253973,0.0054570259208731,0.0037181303116147
Производство меховых изделий,14.2,2021.0,3.583788888952403e-05,0.000109235894915,0.0013642564802182,0.0001770538243626
Производство меховых изделий,14.2,2024.0,2.88367371638271e-05,5.461794745753454e-05,0.0013642564802182,0.0001770538243626
Производство вязаных и трикотажных изделий одежды,14.3,2024.0,0.0002571903765753,0.0010377410016931,0.0027285129604365,0.0005311614730878
Производство кожи и изделий из кожи,15,2021.0,0.0014377392500624,0.0045879075864329,0.0027285129604365,0.0047804532577903
Производство кожи и изделий из кожи,15,2023.0,0.0016642147581372,0.0044240537440602,0.0040927694406548,0.0021246458923512
Производство кожи и изделий из кожи,15,2024.0,0.0013869796264202,0.0044786716915178,0.0068212824010914,0.000885269121813
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2021.0,0.0003805294670967,0.0011469768966082,0.0013642564802182,0.0014164305949008
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2023.0,0.0003596060451038,0.0010923589491506,0.0013642564802182,0.0005311614730878
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2024.0,0.0002894879188526,0.0010923589491506,0.0040927694406548,0.0001770538243626
Производство обуви,15.2,2021.0,0.0010572097829656,0.0034409306898246,0.0013642564802182,0.0033640226628895
Производство обуви,15.2,2023.0,0.0013046087130333,0.0033316947949096,0.0027285129604365,0.0015934844192634
Производство обуви,15.2,2024.0,0.0010974917075675,0.0033863127423671,0.0027285129604365,0.0007082152974504
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.0177678123993696,0.0237588071440275,0.0395634379263301,0.0304532577903682
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2023.0,0.0109359000348512,0.0251788737779234,0.0300136425648021,0.0155807365439093
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.0109714166051742,0.0262166147796165,0.0204638472032742,0.0086756373937677
Распиловка и строгание древесины,16.1,2021.0,0.0069675397964115,0.0100497023321863,0.0136425648021828,0.0111543909348441
Распиловка и строгание древесины,16.1,2023.0,0.0042922549974828,0.0105958818067617,0.0081855388813096,0.0056657223796034
Распиловка и строгание древесины,16.1,2024.0,0.0041621784226396,0.0115243869135397,0.0054570259208731,0.0035410764872521
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.0108002726029581,0.0137091048118411,0.0259208731241473,0.019298866855524
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2023.0,0.0066436569204575,0.0145829919711617,0.0218281036834924,0.0099150141643059
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2024.0,0.0068092381825346,0.0146922278660767,0.015006821282401,0.0051345609065155
Производство бумаги и бумажных изделий,17,2021.0,0.0206910059442942,0.0172592713965809,0.0231923601637107,0.0246104815864022
Производство бумаги и бумажных изделий,17,2023.0,0.0166551476809475,0.018187776503359,0.0231923601637107,0.0143413597733711
Производство бумаги и бумажных изделий,17,2024.0,0.0163780172493279,0.0193347533999672,0.015006821282401,0.0081444759206798
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2021.0,0.009327600541395,0.0042601999016876,0.0068212824010914,0.0051345609065155
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2023.0,0.0068327287525785,0.0039871101644,0.0054570259208731,0.0024787535410764
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2024.0,0.0069253387735642,0.0041509640067726,0.0054570259208731,0.001770538243626
Производство изделий из бумаги и картона,17.2,2021.0,0.0113634054028991,0.0129990714948932,0.0163710777626193,0.0194759206798866
Производство изделий из бумаги и картона,17.2,2023.0,0.0098224189283689,0.0142006663389589,0.0177353342428376,0.0118626062322946
Производство изделий из бумаги и картона,17.2,2024.0,0.0094526784757637,0.0151837893931946,0.0095497953615279,0.0063739376770538
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.0049578233936781,0.015839204762685,0.0163710777626193,0.0161118980169971
Деятельность полиграфическая и копирование носителей информации,18,2023.0,0.0050315970407804,0.0145829919711617,0.0163710777626193,0.0081444759206798
Деятельность полиграфическая и копирование носителей информации,18,2024.0,0.0043544762242492,0.0140368124965863,0.0054570259208731,0.0054886685552407
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2021.0,0.0049471371290691,0.0155114970779398,0.0163710777626193,0.0155807365439093
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.005024859329209,0.014309902233874,0.0163710777626193,0.0079674220963172
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2024.0,0.004350142780597,0.0137091048118411,0.0054570259208731,0.0053116147308781
Производство кокса и нефтепродуктов,19,2021.0,0.1978091093339837,0.0098312305423562,0.0163710777626193,0.011685552407932
Производство кокса и нефтепродуктов,19,2023.0,0.1688935386243459,0.0102135561745589,0.0218281036834924,0.0060198300283286
Производство кокса и нефтепродуктов,19,2024.0,0.1561948214940794,0.010432027964389,0.0231923601637107,0.0038951841359773
