region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Псковская область,58,2020,0.02391344108730822,0.22366783905104196,0.10249388476815116,0.2691258353176454
Псковская область,58,2022,0.023358769708193373,0.2631652917039159,0.048391312226109734,0.338757199157694
Псковская область,58,2023,0.02368230818773577,0.24074600696514065,0.0512413067636222,0.33558335811587003
Ростовская область,60,2020,0.1906246303272078,0.22991666997179241,0.21840361245340456,0.3894819706771706
Ростовская область,60,2021,0.21449204244340406,0.23612656161817233,0.3838809707993284,0.21426592765316108
Ростовская область,60,2022,0.19561530133861646,0.21759657756727727,0.10520064313720077,0.48941705908697314
Ростовская область,60,2023,0.20049083626404351,0.21439500925267202,0.08879174374621705,0.1902025841675076
Ростовская область,60,2024,0.18401438851339508,0.23486090354732628,0.010219113197835044,0.948524791820555
Рязанская область,61,2020,0.06759254104260459,0.24440321206267362,0.022283820848172053,0.27346916298450097
Рязанская область,61,2021,0.07485075521370613,0.27574491206038326,0.02231240926104966,0.24828699556275796
Рязанская область,61,2022,0.06936234394929049,0.3029814399246118,0.01843859657429803,0.4109984924852967
Рязанская область,61,2023,0.0714286352344464,0.2778627045136986,0.031495632344556844,0.18587237280441216
Рязанская область,61,2024,0.07173929246204096,0.28639941674044134,0.049367569361154044,0.2727276017371279
Саратовская область,63,2021,0.1177030149313631,0.27204401960006985,0.174194427711965,0.1948336325953265
Саратовская область,63,2022,0.10753398432217344,0.28456616147724256,0.9124785941146406,0.19074728876496003
Сахалинская область,64,2022,0.14969259734735574,0.1326220055234457,0.024486261082461665,0.5693313088131816
Сахалинская область,64,2023,0.13493882579834868,0.13650014948218891,0.048983278296663824,0.5177729848406791
Сахалинская область,64,2024,0.1285154239275351,0.14680751056367528,0.606162343825851,0.9472472035709085
Свердловская область,65,2020,0.42888806237369825,0.243599321647653,0.3420126173567207,0.4242669024492444
Свердловская область,65,2021,0.46361998339288896,0.2590254178317604,0.08602271480506346,0.7448176593443148
Свердловская область,65,2022,0.4207312882188682,0.27715429457421564,0.061166994564637256,0.47346354183124323
Свердловская область,65,2023,0.44337807635240695,0.27641377514075405,0.043208494271913374,0.518907647467148
Свердловская область,65,2024,0.41939163669624996,0.30301723395974334,0.05442780363497965,0.4328791940100683
Смоленская область,66,2020,0.05181761349018665,0.17025343005645172,0.037196620694734374,0.6339274180651845
Смоленская область,66,2021,0.055362038195952604,0.24936611560611885,0.017542669999957527,0.2668265055200458
Смоленская область,66,2022,0.05286065286069918,0.21541896516458028,0.009664825415074647,0.2932864379707326
Смоленская область,66,2023,0.05545004899653139,0.20708936427394192,0.3455665983410932,0.2218349603685589
Смоленская область,66,2024,0.054546761737358826,0.1897798630471998,0.00345683838038502,0.30173475442320513
Тамбовская область,68,2020,0.03549888270307738,0.25796960647704603,0.08501792715807709,0.22356467615079587
Тамбовская область,68,2021,0.04026319877620505,0.23560756516449774,0.18256521736811485,0.3048758916325805
Тамбовская область,68,2022,0.03878343043127096,0.18670028059974864,0.15024742782406988,0.3303086637889917
Тамбовская область,68,2023,0.03974726365314922,0.21287209437905646,0.04856735351055942,0.345231823339645
Тамбовская область,68,2024,0.03907311602552542,0.25396807235285074,0.08553359001715453,0.21286801855019002
Томская область,69,2021,0.07492393973419494,0.4652428111186711,0.9402428153606291,0.3866720568600033
Томская область,69,2022,0.06897230099840392,0.4677086962208494,0.8497985393889347,0.20730021979403823
Томская область,69,2023,0.06910325404857846,0.46906655971371813,0.12911230052157588,0.1978004084493151
Томская область,69,2024,0.0652278053051655,0.4665822189783868,0.3474388206164281,0.09946028578269847
Ставропольский край,7,2020,0.07076491965106933,0.34018902506565407,0.1299041273303608,0.32125667608893504
Ставропольский край,7,2021,0.08399785044935816,0.2918123556456891,0.08710833992295908,0.2986889069242532
Ставропольский край,7,2022,0.07774196417824375,0.2629081937969954,0.04290202801911962,0.27506364830373653
Ставропольский край,7,2023,0.07345627428052814,0.24282415905672944,0.39298287112160074,0.4818341936222696
Ставропольский край,7,2024,0.06788212082942466,0.29543590037036516,0.4581934525467497,0.5647293452775423
Тульская область,70,2020,0.15746123854001026,0.167293736031226,0.0508997626680221,0.18974201951760503
Тульская область,70,2021,0.17808651089908142,0.1383774969572864,0.05455016449577602,0.16323052799392812
