region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Чукотский автономный округ,77,2020,0.017394532330965776,0.2694713537389941,0.017691785593591407,0.6329626338065406
Чукотский автономный округ,77,2021,0.018286892225966318,0.3512067910855608,0.005222710804286401,0.2934715104892338
Чукотский автономный округ,77,2023,0.018243726853173072,0.35679341532106257,0.034581388785670436,0.17738735992973007
Ярославская область,78,2020,0.09108795025827876,0.28862910720796564,0.13044840351379966,0.1888012444647227
Ярославская область,78,2021,0.0930267705403701,0.3048646272945234,0.4505551648257906,0.21195718036456296
Ярославская область,78,2022,0.08317979763170985,0.3914217633750177,0.0767256833338176,0.1861508494435908
Ярославская область,78,2023,0.08560148596846823,0.35658493842113453,0.05211572869326154,0.3131740639986831
Ярославская область,78,2024,0.08343290554674458,0.361778186035871,0.034512651373358204,0.4166590011872278
Республика Адыгея (Адыгея),79,2020,0.020899945807582324,0.25228239448705386,0.0038045254620156653,0.4298765836474094
Республика Адыгея (Адыгея),79,2021,0.02252943950662752,0.45926132961869004,0.013378315805538922,0.19520240814053025
Республика Адыгея (Адыгея),79,2022,0.02117805327391587,0.2632701534587017,0.04032637784805866,0.4076216701758398
Республика Адыгея (Адыгея),79,2024,0.023070733700481575,0.3054843142525529,0.0007622787490625298,0.21121044369592887
Хабаровский край,8,2020,0.12761147783876026,0.33914528895007234,0.024279557749395216,0.27175770202435723
Хабаровский край,8,2021,0.13609965100380572,0.4054705538576994,0.18622683068399587,0.22481548649893984
Хабаровский край,8,2022,0.11968230308003097,0.5806789737645435,0.2495393270473069,0.11143824528336678
Хабаровский край,8,2023,0.1257883136572061,0.44486335582727865,0.0055866764969349945,0.33448846490474426
Хабаровский край,8,2024,0.12838236022095978,0.38470139083038857,0.03445830377916325,0.17467861543139643
Республика Башкортостан,80,2020,0.24984693524582605,0.44080120311725696,0.1179217361645132,0.1440143597492599
Республика Башкортостан,80,2021,0.2675565540871909,0.4873106540917915,0.159592342623443,0.14782330536299287
Республика Башкортостан,80,2022,0.2474566982193427,0.4176698318846994,0.12284783963252169,0.2769652043760139
Республика Башкортостан,80,2023,0.2427425170709328,0.48933980944350164,0.12064724307914547,0.1827779090953727
Республика Башкортостан,80,2024,0.24331477845184765,0.48019767889281645,0.09058470340324838,0.2099696717398357
Республика Бурятия,81,2020,0.04481580919656858,0.3519575398717689,0.06117210381194852,0.45941753430260174
Республика Бурятия,81,2021,0.047329785271294125,0.29628351769068034,0.15097616636746675,0.5513613017963107
Республика Бурятия,81,2022,0.04979845052425339,0.2516959196182068,0.03373549084342863,0.27310437954312894
Республика Бурятия,81,2023,0.04959118616574799,0.33517920678568575,0.13920465201159868,0.08761493134162743
Республика Бурятия,81,2024,0.046907579864752594,0.2164443775695937,0.12002451537420214,0.37030157480522435
