region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Орловская область,54,2021,0.04484543538013206,0.3166150479844366,0.044253106025233295,0.15254900126645515
Орловская область,54,2022,0.04080090166958767,0.31360801841644503,0.006161179739701613,0.24163815654811174
Орловская область,54,2023,0.03901491079130735,0.31268874548714043,0.0008578524511637002,0.07362927863079612
Пензенская область,56,2020,0.07124075269809058,0.2615714154940997,0.24996400532883908,0.4201028173664695
Пензенская область,56,2021,0.07150460467160483,0.26056099584551307,0.19944437191541514,0.20283248773084936
Пензенская область,56,2022,0.06553532116015257,0.28651781277196686,0.17219840974990686,0.12277720758936883
Пензенская область,56,2023,0.0648289979511905,0.2697298027521901,0.06735432085052663,0.1710709131207414
Пензенская область,56,2024,0.06516853933192146,0.26793476649054593,0.046973396749897284,0.19909467414711066
Пермский край,57,2021,0.23300348665839277,0.41886383674968053,0.11922579219829117,1.0
Пермский край,57,2022,0.2217491036559915,0.515453839463184,0.04590989401473301,0.5689433907437372
Пермский край,57,2024,0.2113165886753908,0.5354971398025211,0.11424643322000866,0.489385740904679
Псковская область,58,2020,0.029659554872705468,0.30456781433138613,0.10249388476815116,0.2691258353176454
Псковская область,58,2022,0.0284462054064739,0.3649700718574941,0.048391312226109734,0.338757199157694
Псковская область,58,2023,0.02858964700370403,0.33680408251608734,0.0512413067636222,0.33558335811587003
Ростовская область,60,2020,0.25413675514251455,0.2912627957298257,0.21840361245340456,0.3894819706771706
Ростовская область,60,2021,0.27216684196331886,0.31428512964635347,0.3838809707993284,0.21426592765316108
Ростовская область,60,2022,0.25936125496749735,0.2771742005519826,0.10520064313720077,0.48941705908697314
Ростовская область,60,2023,0.26871829545758863,0.2701562267979973,0.08879174374621705,0.1902025841675076
Ростовская область,60,2024,0.2511029866253911,0.29067899574477335,0.010219113197835044,0.948524791820555
Рязанская область,61,2020,0.06849809173507979,0.4073148360162691,0.022283820848172053,0.27346916298450097
Рязанская область,61,2021,0.07261397671379503,0.48005001972479466,0.02231240926104966,0.24828699556275796
Рязанская область,61,2022,0.06892134482168405,0.5149784576165561,0.01843859657429803,0.4109984924852967
Рязанская область,61,2023,0.0690691330024689,0.4853126654086984,0.031495632344556844,0.18587237280441216
Рязанская область,61,2024,0.06627960244331486,0.5235429823884385,0.049367569361154044,0.2727276017371279
Саратовская область,63,2021,0.13447284792330136,0.40215658747803373,0.174194427711965,0.1948336325953265
Саратовская область,63,2022,0.13151256394414493,0.3929748596991469,0.9124785941146406,0.19074728876496003
Сахалинская область,64,2022,0.1846324522030112,0.18159793109699002,0.024486261082461665,0.5693313088131816
Сахалинская область,64,2023,0.15658938909283507,0.1986601426920498,0.048983278296663824,0.5177729848406791
Сахалинская область,64,2024,0.13612923784232822,0.23407505475438886,0.606162343825851,0.9472472035709085
Свердловская область,65,2020,0.37563495929803525,0.4697394641114003,0.3420126173567207,0.4242669024492444
