region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r,RDcosts_r,RDsalary_r,RDequip_r
Алтайский край,1,2024,0.0976936449675552,0.2707519624011961,0.017975960399489687,0.19962815400024062,0.08637841371658704,0.7913366472748129,0.23771611230995227
Амурская область,10,2020,0.06251972016782208,0.32014904710893716,0.012824577128953211,0.13979819032679852,0.04905762315967825,0.7992958476085174,0.1268166808393614
Амурская область,10,2021,0.06843131644914335,0.35595696946469807,0.009589655107615402,0.27448066172587,0.04491320117939343,0.8028418855987732,0.3217965871066526
Амурская область,10,2022,0.06348825400323242,0.3159291604278264,0.0030629241343630644,0.18251734187845295,0.053900219402891004,0.7199558239902111,0.5358552567726147
Амурская область,10,2023,0.0742423758779575,0.3459875225330681,0.03843588175847958,0.09372593756642204,0.040021107081177267,0.7871083583096306,0.7417127484117254
Архангельская область,11,2020,0.1078827355805653,0.291832753694811,0.05226881534595235,0.08561719834298612,0.07869126017974121,0.7812061482341127,0.06590868205812944
Архангельская область,11,2021,0.13377733292363786,0.23473572058889794,0.02198916101937138,0.15329554764356526,0.06413780795209968,0.7877218520286295,0.24866757583565283
Архангельская область,11,2022,0.12408078585839752,0.2442852337857289,0.010062937911877045,0.1500320458471875,0.059613430104397215,0.8335788663868782,0.18074231316650888
Архангельская область,11,2023,0.11621807781841695,0.2550494028693018,0.051900970225312086,0.13623760874538332,0.06330895763079714,0.8573653420582213,0.16256716255581274
Архангельская область,11,2024,0.11026157682653392,0.2298701466441849,0.02309414070389035,0.17735886489822766,0.07149587443592367,0.7255820511890192,0.014180981734072388
Архангельская область (кроме Ненецкого автономного округа),11001,2020,0.07650329026962527,0.2714148322432043,0.07888621608174708,0.12521955176512692,0.10901495188476319,0.7762419658866766,0.06708955275534752
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.08352649890481666,0.31268903409857296,0.0261754932472911,0.13966459323181982,0.10109291618070188,0.7834716871225983,0.2526799628021188
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.064366710934821,0.33546160860185975,0.027108434399366034,0.1968673419040012,0.12109740036894123,0.7220458594635656,0.01434218568438271
Астраханская область,12,2021,0.08224915048759689,0.18008145152129823,0.03269135917477831,0.07825889238008561,0.0395214505200516,0.6991043009658949,0.05268827011285606
Астраханская область,12,2022,0.07975303453201724,0.1731478721784642,0.025557862763260265,0.1594859371167536,0.02818477139982583,0.751668795977922,0.278492473270817
Астраханская область,12,2023,0.07211471165900044,0.1888502892470342,0.03234594876172875,0.21234069994176064,0.11230188242838578,0.547941712357749,0.018350093245211578
Белгородская область,14,2020,0.13722651934678268,0.1853482955681828,0.8907305064811181,0.3520294267345373,0.09964187381963902,0.5179781256317794,0.2533263094149271
Белгородская область,14,2021,0.16821298880665017,0.20473925131786003,0.03436000513246077,0.0881006091840786,0.10189335611842784,0.5043907859690784,0.30607449329154623
Белгородская область,14,2022,0.13389092754783127,0.28147740749326233,0.022629673538323743,0.08181407191605056,0.13215465656533384,0.4148057403708919,0.5959652836606527
Брянская область,15,2020,0.0574078572553758,0.3802484186197191,0.02092110206253089,0.3503240701516004,0.04558100005022984,0.6576883333928042,0.7290514421528802
Брянская область,15,2021,0.06023271211752975,0.5390157180219721,0.019494656614656207,0.1814836914299773,0.023786121459836322,0.7895485637178172,0.46981063568427206
Брянская область,15,2023,0.05920795327513008,0.4337042066734468,0.01694719620765369,0.08768495158223426,0.043456309766114885,0.479657316035112,1.0
Владимирская область,17,2020,0.07656388309128907,0.42665341608003765,0.7487118372095085,0.3542045586942947,0.30585221626291437,0.6412920768095035,0.12299126766483084
Владимирская область,17,2021,0.09076134541868726,0.3614347481415065,0.5749163122569922,0.1224636404226833,0.20522870840406013,0.6531968362327945,0.07468345297598283
Владимирская область,17,2022,0.08156284948079887,0.33328047750762124,0.5507710166658156,0.10388613720993495,0.21445305428451225,0.6252982479624415,0.05212364129419801
Владимирская область,17,2023,0.08198091851962906,0.3343955254718793,0.5703354277313168,0.10517976438927741,0.25061636722792974,0.6291601518051919,0.03925925714618513
Волгоградская область,18,2021,0.1336110367359169,0.32466314467536317,0.07321136060586161,0.21141579018156745,0.15583711111724688,0.5340971398867589,0.1421338055741146
Волгоградская область,18,2022,0.12709759467780307,0.35648590441476014,0.03925007425528821,0.15353564369561437,0.16083613368401084,0.5318885709077801,0.24275232215324677
Волгоградская область,18,2023,0.12816865090353172,0.30133843559286805,0.009577784409383538,0.9433774433962061,0.1663644681820905,0.5522650895922173,0.5616205029726772
Волгоградская область,18,2024,0.11621760457398121,0.3220787593264341,0.16967800984748435,0.19489423187112706,0.15301674257509076,0.5800504293027763,0.3917478356439379
Вологодская область,19,2020,0.08674494293264934,0.37894401253786136,0.10796562814190178,0.0919680794454515,0.05218952500730269,0.705486834158003,0.08197321840163471
Вологодская область,19,2022,0.10697762239723173,0.29268631057184197,0.027189704181405455,0.2763292517427999,0.045454817553314396,0.6635942247217944,0.01758237197594835
Вологодская область,19,2023,0.1005615509081174,0.3159535535884381,0.04988210651068861,0.16093208568607156,0.043233315399228145,0.7665610889935199,0.04166033564841404
Воронежская область,20,2020,0.15029161366222502,0.19022024938615864,0.3685227222582792,0.7436805148013893,0.3863318353881884,0.47246170801782184,0.042842024181117815
