sector,okved2,year,PCusage_s
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,53.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,46.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2022.0,31.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,26.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,24.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,29.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2022.0,20.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,19.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,16.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,8.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022.0,7.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,3.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,4.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,25.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022.0,27.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,26.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,28.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,25.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022.0,17.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,18.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,19.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,23.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022.0,15.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,16.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,16.0
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,1.0
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,1.0
Разведение овец и коз,01.45,2021.0,36.0
Разведение овец и коз,01.45,2023.0,26.0
Разведение овец и коз,01.45,2024.0,24.0
Разведение овец и коз,01.45.1,2021.0,33.0
Разведение овец и коз,01.45.1,2022.0,23.0
Разведение овец и коз,01.45.1,2023.0,21.0
Разведение овец и коз,01.45.1,2024.0,19.0
Производство сырого овечьего и козьего молока,01.45.2,2023.0,1.0
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2022.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,1.0
Разведение племенных овец и коз,01.45.4,2022.0,
Разведение племенных овец и коз,01.45.4,2023.0,3.0
Разведение племенных овец и коз,01.45.4,2024.0,3.0
Разведение свиней,01.46,2021.0,206.0
Разведение свиней,01.46,2022.0,207.0
Разведение свиней,01.46,2023.0,192.0
Разведение свиней,01.46,2024.0,185.0
Выращивание и разведение свиней,01.46.1,2021.0,176.0
Выращивание и разведение свиней,01.46.1,2022.0,172.0
Выращивание и разведение свиней,01.46.1,2023.0,164.0
Выращивание и разведение свиней,01.46.1,2024.0,165.0
Выращивание свиней на мясо,01.46.11,2021.0,172.0
Выращивание свиней на мясо,01.46.11,2022.0,169.0
Выращивание свиней на мясо,01.46.11,2023.0,161.0
Выращивание свиней на мясо,01.46.11,2024.0,162.0
Разведение племенного поголовья свиней,01.46.12,2021.0,2.0
Разведение племенного поголовья свиней,01.46.12,2022.0,2.0
Разведение племенного поголовья свиней,01.46.12,2023.0,2.0
Разведение племенного поголовья свиней,01.46.12,2024.0,2.0
Разведение сельскохозяйственной птицы,01.47,2021.0,298.0
Разведение сельскохозяйственной птицы,01.47,2022.0,313.0
Разведение сельскохозяйственной птицы,01.47,2023.0,293.0
Разведение сельскохозяйственной птицы,01.47,2024.0,287.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,114.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,117.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,114.0
