sector,okved2,year,AIcosts_s
Производство прочей молочной продукции,10.51.9,2024,
Производство мороженого,10.52,2024,
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2024,5.9482
Производство продуктов мукомольной и крупяной промышленности,10.61,2024,5.9482
Производство обработанного риса,10.61.1,2024,
Производство муки из зерновых культур,10.61.2,2024,
Производство крупы и гранул из зерновых культур,10.61.3,2024,
"Производство мучных смесей и приготовление мучных смесей или теста для хлеба, тортов, бисквитов и блинов",10.61.4,2024,
Производство крахмала и крахмалосодержащих продуктов,10.62,2024,
Производство крахмала,10.62.1,2024,
Производство прочих крахмалосодержащих продуктов,10.62.9,2024,
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024,2.117
"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71,2024,2.01
Производство хлеба и хлебобулочных изделий недлительного хранения,10.71.1,2024,2.01
"Производство мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71.2,2024,
"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",10.72,2024,
"Производство хрустящих хлебцев, сухарей и прочих сухарных хлебобулочных изделий",10.72.1,2024,
Производство тортов и пирожных длительного хранения,10.72.2,2024,
Производство прочих мучных кондитерских изделий длительного хранения,10.72.3,2024,
Производство печенья,10.72.31,2024,
Производство пряников и коврижек,10.72.32,2024,
Производство вафель,10.72.33,2024,
Производство галет и крекеров,10.72.34,2024,
"Производство кексов, рулетов и аналогичных изделий длительного хранения",10.72.35,2024,
Производство восточных сладостей и прочих мучных кондитерских изделий,10.72.39,2024,
Производство замороженных хлебобулочных полуфабрикатов,10.72.4,2024,
Производство макаронных изделий кускуса и аналогичных мучных изделий,10.73,2024,
Производство макаронных изделий,10.73.1,2024,
Производство консервированных или замороженных макаронных изделий,10.73.3,2024,
Производство прочих пищевых продуктов,10.8,2024,47.902
Производство сахара,10.81,2024,
Производство сахара из сахарной свеклы и тростникового сырца,10.81.1,2024,
Производство сахара из сахарной свеклы,10.81.11,2024,
"Производство какао, шоколада и сахаристых кондитерских изделий",10.82,2024,4.993
Производство шоколада и сахаристых кондитерских изделий,10.82.2,2024,4.993
Производство кондитерских изделий из сахара,10.82.3,2024,
Производство чая и кофе,10.83,2024,
Производство приправ и пряностей,10.84,2024,
Производство готовых пищевых продуктов и блюд,10.85,2024,
Производство детского питания и диетических пищевых продуктов,10.86,2024,
Производство молока и молочных продуктов для детского питания,10.86.1,2024,
Производство молока и молочных продуктов для детей раннего возраста,10.86.11,2024,
Производство соковой продукции из фруктов и овощей для детского питания,10.86.2,2024,
"Производство мясной продукции для детского питания, в том числе из мяса птицы",10.86.3,2024,
Производство продуктов на злаковой основе для детского питания,10.86.4,2024,
Производство продуктов детского питания профилактического и лечебного назначения,10.86.5,2024,
"Производство специализированной пищевой продукции, в том числе диетических пищевых продуктов",10.86.6,2024,
Производство пищевой продукции для питания спортсменов,10.86.62,2024,
Производство прочих диетических пищевых продуктов,10.86.69,2024,
"Производство воды питьевой, напитков безалкогольных для детского питания",10.86.7,2024,
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2024,18.012
Производство супов и бульонов,10.89.1,2024,
"Производство скоропортящихся продуктов, таких как: сэндвичи и свежая пицца (полуфабрикат)",10.89.2,2024,
"Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей",10.89.3,2024,
Производство пищевых ферментов,10.89.4,2024,
"Переработка меда (темперирование, фильтрация, декристаллизация и смешивание меда)",10.89.6,2024,
Производство рационов питания и пайков,10.89.7,2024,
Производство биологически активных добавок к пище,10.89.8,2024,
"Производство прочих продуктов питания, не включенных в другие группировки",10.89.9,2024,0.87
Производство готовых кормов для животных,10.9,2024,1.1603
"Производство готовых кормов для животных, содержащихся на фермах",10.91,2024,1.1603
"Производство готовых кормов (смешанных и несмешанных), кроме муки и гранул из люцерны, для животных, содержащихся на фермах",10.91.1,2024,
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2024,
Производство готовых кормов для непродуктивных животных,10.92,2024,
Производство напитков,11.0,2024,
"Перегонка, очистка и смешивание спиртов",11.01,2024,
"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.",11.01.1,2024,
Производство пищевого спирта,11.01.4,2024,
Производство вина из винограда,11.02,2024,
Производство сидра и прочих плодовых вин,11.03,2024,
Производство пива,11.05,2024,
Производство солода,11.06,2024,
"Производство безалкогольных напитков; производство упакованных питьевых вод, включая минеральные воды.",11.07,2024,
"Производство упакованных питьевых вод, включая минеральные воды",11.07.1,2024,
Производство упакованных природных минеральных вод,11.07.11,2024,
Производство упакованных природных питьевых вод,11.07.12,2024,
Производство упакованных обработанных питьевых вод,11.07.13,2024,
"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод",11.07.2,2024,
Производство табачных изделий,12.00,2024,
"Производство изделий из табака и махорки: сигарет, папирос, сигар, сигарилл, курительного тонкорезаного табака, трубочного табака, жевательного табака, сосательного табака, нюхательного табака, табака для кальяна, курительной и нюхательной махорки",12.00.1,2024,
Производство гомогенизированного или восстановленного табака,12.00.2,2024,
Производство текстильных изделий,13,2024,8.1693
Подготовка и прядение текстильных волокон,13.10,2024,
Прядение гребенное шерстяных волокон,13.10.3,2024,
"Изготовление натуральных шелковых, искусственных и синтетических волокон",13.10.5,2024,
Производство швейных ниток,13.10.6,2024,
Подготовка и прядение прочих текстильных волокон,13.10.9,2024,
Производство текстильных тканей,13.20,2024,
"Производство тканей (без специальных тканей) из натуральных волокон, кроме хлопка",13.20.1,2024,
Производство шелковых тканей,13.20.11,2024,
Производство шерстяных тканей,13.20.12,2024,
Производство льняных тканей,13.20.13,2024,
Производство хлопчатобумажных тканей,13.20.2,2024,
"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон",13.20.3,2024,
"Производство ворсовых, махровых полотенечных тканей и прочих специальных тканей",13.20.4,2024,
Производство хлопчатобумажных махровых полотенечных тканей,13.20.42,2024,
Производство марли,13.20.44,2024,
Производство тканей из стекловолокна,13.20.46,2024,
Отделка тканей и текстильных изделий,13.30,2024,
"Отбеливание и окрашивание текстиля, волокон, тканей и текстильных изделий, включая готовую одежду",13.30.1,2024,
Производство прочих текстильных изделий,13.9,2024,7.892
Производство трикотажного и вязаного полотна,13.91,2024,
Производство и обработка трикотажного или вязаного полотна,13.91.1,2024,
Производство искусственного меха методом вязания,13.91.2,2024,
"Производство готовых текстильных изделий, кроме одежды",13.92.1,2024,
Производство ковров и ковровых изделий,13.93,2024,
"Производство канатов, веревок, шпагата и сетей",13.94,2024,
"Производство шпагата, канатов, веревок и тросов из текстильных волокон и лент, с пропиткой и без пропитки, с покрытием, защищенных или не защищенных оболочкой из резины или пластмассы",13.94.1,2024,
"Производство изделий из веревки и сетного полотна: рыболовных сетей, предохранительных сеток на судах, защитных средств, используемых при погрузочно-разгрузочных работах, стропов, веревок или тросов с металлическими кольцами",13.94.2,2024,
"Производство нетканых текстильных материалов и изделий из них, кроме одежды",13.95,2024,
Производство прочих технических и промышленных текстильных изделий,13.96,2024,
"Производство текстильных материалов, пропитанных или с покрытием",13.96.4,2024,
Производство кордных тканей,13.96.5,2024,
"Производство текстильных материалов и изделий технического назначения (включая фитили, калильные сетки газовых фонарей, текстильные шланги, конвейерные ленты и приводные ремни, ситовые ткани и фильтровальные ткани)",13.96.6,2024,
"Производство узких текстильных тканей, в том числе состоящих из основы безуточного переплетения и соединяемых клеящим веществом",13.96.7,2024,
"Производство прочих текстильных изделий, не включенных в другие группировки",13.99,2024,
"Производство текстильных изделий различного назначения, не включенных в другие группировки",13.99.9,2024,
Производство одежды,14,2024,1.4697
"Производство одежды, кроме одежды из меха",14.1,2024,
Производство одежды из кожи,14.11,2024,
Производство спецодежды,14.12,2024,
Производство прочей верхней одежды,14.13,2024,
"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных",14.13.2,2024,
"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных, для мужчин или мальчиков",14.13.21,2024,
"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных, для женщин или девочек",14.13.22,2024,
Производство нательного белья,14.14,2024,
Производство прочей одежды и аксессуаров одежды,14.19,2024,
Производство вязаных и трикотажных изделий одежды,14.3,2024,
Производство вязаных и трикотажных чулочно-носочных изделий,14.31,2024,
Производство кожи и изделий из кожи,15,2024,
