sector,okved2,year,trainingcosts_s
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024,0.441
Добыча минерального сырья для химической промышленности и производства минеральных удобрений,08.91,2018,0.8523
Добыча минерального сырья для химической промышленности и производства минеральных удобрений,08.91,2019,0.0
Добыча асбеста,08.91.1,2018,0.298
Добыча и агломерация торфа,08.92.1,2019,0.0
Добыча торфа,08.92.11,2019,0.0
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2023,4.342
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2024,0.236
Предоставление услуг в области добычи полезных ископаемых,09,2017,76.3792
Предоставление услуг в области добычи полезных ископаемых,09,2018,13.5567
Предоставление услуг в области добычи полезных ископаемых,09,2019,2.5123
Предоставление услуг в области добычи полезных ископаемых,09,2021,2.588
Предоставление услуг в области добычи полезных ископаемых,09,2022,8.463700000000001
Предоставление услуг в области добычи полезных ископаемых,09,2023,4.96
Предоставление услуг в области добычи полезных ископаемых,09,2024,1.9631
Предоставление услуг в области добычи нефти и природного газа,09.1,2019,2.5123
Предоставление услуг в области добычи нефти и природного газа,09.1,2021,2.588
Предоставление услуг в области добычи нефти и природного газа,09.1,2022,8.463700000000001
Предоставление услуг в области добычи нефти и природного газа,09.1,2023,4.96
Предоставление услуг в области добычи нефти и природного газа,09.1,2024,1.9631
Предоставление услуг в области добычи нефти и природного газа,09.10,2021,2.588
Предоставление услуг в области добычи нефти и природного газа,09.10,2022,8.463700000000001
Предоставление услуг в области добычи нефти и природного газа,09.10,2023,4.96
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,1.9631
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2022,4.8297
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2023,2.2501
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2021,1.9921
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2022,2.215
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2023,2.6599
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2024,1.831
Предоставление услуг в других областях добычи полезных ископаемых,09.9,2019,0.0
"Производства пищевых продуктов, включая напитки",10,2016,21.9525
Производство пищевых продуктов,10,2017,56.531400000000005
Производство пищевых продуктов,10,2018,34.3857
Производство пищевых продуктов,10,2019,36.8709
Производство пищевых продуктов,10,2021,33.1885
Производство пищевых продуктов,10,2022,26.5454
Производство пищевых продуктов,10,2023,29.9168
Производство пищевых продуктов,10,2024,20.9458
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021,3.2674000000000003
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2022,1.773
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023,2.145
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024,2.85
Производство продукции из мяса убойных животных и мяса птицы,10.13,2021,3.164
Производство продукции из мяса убойных животных и мяса птицы,10.13,2022,1.763
Производство продукции из мяса убойных животных и мяса птицы,10.13,2023,2.144
Производство продукции из мяса убойных животных и мяса птицы,10.13,2024,2.641
Производство колбасных изделий,10.13.2,2023,0.389
Производство колбасных изделий,10.13.2,2024,0.783
Производство мясных (мясосодержащих) полуфабрикатов,10.13.4,2021,1.605
Производство мясных (мясосодержащих) полуфабрикатов,10.13.4,2022,1.557
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2022,3.3118000000000003
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2024,0.29
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.20,2022,3.3118000000000003
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.20,2024,0.29
Переработка и консервирование фруктов и овощей,10.3,2021,1.382
Переработка и консервирование фруктов и овощей,10.3,2022,0.267
Переработка и консервирование фруктов и овощей,10.3,2023,2.285
Переработка и консервирование картофеля,10.31,2023,1.6
Производство соковой продукции из фруктов и овощей для детского питания,10.32.1,2018,0.0
Производство соковой продукции из фруктов и овощей для детского питания,10.32.1,2019,0.0
Прочие виды переработки и консервирования фруктов и овощей,10.39,2023,0.193
Производство растительных и животных масел и жиров,10.4,2023,0.1130999999999999
Производство масел и жиров,10.41,2023,0.1130999999999999
Производство нерафинированных растительных масел и их фракций,10.41.2,2023,0.1130999999999999
Производство молочной продукции,10.5,2021,5.238899999999999
Производство молочной продукции,10.5,2022,3.3244
Производство молочной продукции,10.5,2023,7.9482
Производство молочной продукции,10.5,2024,8.5968
Производство молока (кроме сырого) и молочной продукции,10.51,2021,2.9344
Производство молока (кроме сырого) и молочной продукции,10.51,2022,3.2089000000000003
Производство молока (кроме сырого) и молочной продукции,10.51,2023,7.9197
Производство молока (кроме сырого) и молочной продукции,10.51,2024,8.284799999999999
Производство питьевого молока и питьевых сливок,10.51.1,2021,0.4584
Производство питьевого молока и питьевых сливок,10.51.1,2022,0.345
Производство питьевого молока и питьевых сливок,10.51.1,2023,1.282
Производство питьевого молока и питьевых сливок,10.51.1,2024,1.4650999999999998
Производство молока и молочных продуктов для детей раннего возраста,10.51.2,2018,0.0
Производство молока и молочных продуктов для детей раннего возраста,10.51.2,2019,0.0
Производство сыра и сырных продуктов,10.51.3,2022,2.0081
Производство сыра и сырных продуктов,10.51.3,2023,0.9761
Производство прочей молочной продукции,10.51.9,2021,0.894
Производство прочей молочной продукции,10.51.9,2022,0.7707999999999999
