sector,okved2,year,ITcosts_s
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024,661.4005999999999
Разведение племенной сельскохозяйственной птицы,01.47.12,2021,13.8456
Разведение племенной сельскохозяйственной птицы,01.47.12,2022,18.1128
Разведение племенной сельскохозяйственной птицы,01.47.12,2023,25.2365
Разведение племенной сельскохозяйственной птицы,01.47.12,2024,51.1529
Производство яиц сельскохозяйственной птицы,01.47.2,2021,226.3606
Производство яиц сельскохозяйственной птицы,01.47.2,2022,248.6748
Производство яиц сельскохозяйственной птицы,01.47.2,2023,295.1424
Производство яиц сельскохозяйственной птицы,01.47.2,2024,1113.4813
Деятельность инкубаторов для птицеводства,01.47.3,2024,0.621
Разведение прочих животных,01.49,2021,63.8972
Разведение прочих животных,01.49,2022,14.6098
Разведение прочих животных,01.49,2023,17.963900000000002
Разведение прочих животных,01.49,2024,14.3998
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021,27.5992
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2022,2.8943000000000003
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023,1.8476
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024,1.1855
Разведение прочих пушных зверей на фермах,01.49.22,2021,27.3452
Разведение прочих пушных зверей на фермах,01.49.22,2022,2.8943000000000003
Разведение прочих пушных зверей на фермах,01.49.22,2023,1.8476
Разведение прочих пушных зверей на фермах,01.49.22,2024,1.1855
Разведение оленей,01.49.4,2021,9.7244
Разведение оленей,01.49.4,2022,11.1678
Разведение оленей,01.49.4,2023,14.9835
Разведение оленей,01.49.4,2024,11.0901
Разведение домашних северных оленей,01.49.41,2021,8.113100000000001
Разведение домашних северных оленей,01.49.41,2022,9.3631
Разведение домашних северных оленей,01.49.41,2023,12.8267
Разведение домашних северных оленей,01.49.41,2024,9.0081
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023,1.12
Смешанное сельское хозяйство,01.5,2019,40.3583
Смешанное сельское хозяйство,01.5,2021,45.9737
Смешанное сельское хозяйство,01.5,2022,50.6216
Смешанное сельское хозяйство,01.5,2023,54.806
Смешанное сельское хозяйство,01.5,2024,56.5676
Смешанное сельское хозяйство,01.50,2021,45.9737
