sector,okved2,year,AIusage_s
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2021.0,9.0
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2022.0,19.0
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2023.0,9.0
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2024.0,10.0
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2025.0,14.0
Разработка инженерно-технических проектов и контроль при строительстве и модернизации объектов использования атомной энергии,71.12.14,2022.0,15.0
Инженерные изыскания в строительстве,71.12.15,2023.0,2.0
Инженерные изыскания в строительстве,71.12.15,2024.0,1.0
Инженерные изыскания в строительстве,71.12.15,2025.0,4.0
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2021.0,13.0
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2022.0,22.0
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2023.0,24.0
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2024.0,23.0
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2025.0,20.0
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2021.0,28.0
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2022.0,30.0
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2023.0,30.0
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2024.0,37.0
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2025.0,36.0
Деятельность геодезическая и картографическая,71.12.4,2021.0,5.0
Деятельность геодезическая и картографическая,71.12.4,2022.0,8.0
Деятельность геодезическая и картографическая,71.12.4,2023.0,8.0
Деятельность геодезическая и картографическая,71.12.4,2024.0,4.0
Деятельность геодезическая и картографическая,71.12.4,2025.0,3.0
"Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей",71.12.41,2021.0,2.0
"Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей",71.12.41,2022.0,1.0
"Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей",71.12.41,2023.0,1.0
"Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей",71.12.41,2024.0,1.0
"Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей",71.12.41,2025.0,1.0
Деятельность гидрографическая изыскательская,71.12.43,2024.0,1.0
Деятельность гидрографическая изыскательская,71.12.43,2025.0,1.0
"Создание геодезической, нивелирной, гравиметрической сетей",71.12.45,2021.0,3.0
"Создание геодезической, нивелирной, гравиметрической сетей",71.12.45,2022.0,7.0
"Создание геодезической, нивелирной, гравиметрической сетей",71.12.45,2023.0,7.0
"Создание геодезической, нивелирной, гравиметрической сетей",71.12.45,2024.0,1.0
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2021.0,15.0
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2022.0,19.0
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2023.0,15.0
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2024.0,12.0
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2025.0,10.0
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2021.0,6.0
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2022.0,8.0
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2023.0,9.0
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2024.0,4.0
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2025.0,1.0
"Работы полевые и изыскания в области гидрометеорологии и смежных с ней областях, экспедиционные обследования объектов окружающей среды с целью оценки уровней загрязнения",71.12.54,2022.0,1.0
Деятельность по обработке и предоставлению гидрометеорологической информации органам государственной власти и населению,71.12.55,2021.0,3.0
Деятельность по обработке и предоставлению гидрометеорологической информации органам государственной власти и населению,71.12.55,2022.0,2.0
"Деятельность, связанная с активными воздействиями на метеорологические и геофизические процессы и явления",71.12.57,2022.0,1.0
"Деятельность, связанная с активными воздействиями на метеорологические и геофизические процессы и явления",71.12.57,2024.0,1.0
"Деятельность, связанная с активными воздействиями на метеорологические и геофизические процессы и явления",71.12.57,2025.0,1.0
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2021.0,5.0
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2022.0,14.0
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2023.0,7.0
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2024.0,9.0
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2025.0,11.0
Деятельность в области технического регулирования и стандартизации,71.12.61,2022.0,2.0
Деятельность в области технического регулирования и стандартизации,71.12.61,2025.0,1.0
Деятельность в области метрологии,71.12.62,2021.0,1.0
Деятельность в области метрологии,71.12.62,2022.0,5.0
Деятельность в области метрологии,71.12.62,2023.0,4.0
Деятельность в области метрологии,71.12.62,2024.0,3.0
Деятельность в области метрологии,71.12.62,2025.0,4.0
Деятельность в области аккредитации,71.12.63,2022.0,4.0
Деятельность в области аккредитации,71.12.63,2024.0,1.0
Деятельность в области аккредитации,71.12.63,2025.0,1.0
Государственный контроль (надзор) за соблюдением требований технических регламентов,71.12.64,2021.0,3.0
Государственный контроль (надзор) за соблюдением требований технических регламентов,71.12.64,2022.0,3.0
Государственный контроль (надзор) за соблюдением требований технических регламентов,71.12.64,2023.0,2.0
Государственный контроль (надзор) за соблюдением требований технических регламентов,71.12.64,2024.0,4.0
Государственный контроль (надзор) за соблюдением требований технических регламентов,71.12.64,2025.0,4.0
Кадастровая деятельность,71.12.7,2021.0,1.0
Кадастровая деятельность,71.12.7,2022.0,17.0
Кадастровая деятельность,71.12.7,2023.0,27.0
Кадастровая деятельность,71.12.7,2024.0,9.0
Кадастровая деятельность,71.12.7,2025.0,30.0
Деятельность по предоставлению инженерно-технических консультаций в сфере энергосбережения и повышения энергетической эффективности использования энергетических ресурсов,71.12.8,2023.0,1.0
Землеустройство,71.12.9,2022.0,1.0
Землеустройство,71.12.9,2023.0,1.0
Землеустройство,71.12.9,2024.0,1.0
Землеустройство,71.12.9,2025.0,1.0
"Технические испытания, исследования, анализ и сертификация",71.20,2021.0,22.0
"Технические испытания, исследования, анализ и сертификация",71.20,2022.0,43.0
"Технические испытания, исследования, анализ и сертификация",71.20,2023.0,41.0
