sector,okved2,year,researchers_s
Деятельность полиграфическая и копирование носителей информации,18,2020,11.0
Деятельность полиграфическая и копирование носителей информации,18,2021,14.0
Производство кокса и нефтепродуктов,19,2017,75.0
Производство кокса и нефтепродуктов,19,2018,80.0
Производство кокса и нефтепродуктов,19,2019,76.0
Производство кокса и нефтепродуктов,19,2020,70.0
Производство кокса и нефтепродуктов,19,2021,67.0
Производство кокса и нефтепродуктов,19,2022,83.0
Производство кокса и нефтепродуктов,19,2023,82.0
Производство кокса и нефтепродуктов,19,2025,109.0
Производство нефтепродуктов,19.20,2025,109.0
Производство прочих нефтепродуктов,19.20.9,2021,25.0
Производство химических веществ и химических продуктов,20,2017,1704.0
Производство химических веществ и химических продуктов,20,2018,1748.0
Производство химических веществ и химических продуктов,20,2019,2753.0
Производство химических веществ и химических продуктов,20,2020,5035.0
Производство химических веществ и химических продуктов,20,2021,3822.0
Производство химических веществ и химических продуктов,20,2022,2998.0
Производство химических веществ и химических продуктов,20,2023,2125.0
Производство химических веществ и химических продуктов,20,2024,3723.0
Производство химических веществ и химических продуктов,20,2025,4440.0
"Производство химических продуктов, не включенные в другие группировки",20.05.АГ,2017,422.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2018,351.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2019,696.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2020,1082.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2024,1697.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2025,497.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2017,265.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2018,351.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2019,696.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2020,1082.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2021,1178.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2022,1400.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2023,884.0
"Производство прочих химических продуктов, за исключением взрывчатых веществ",20.09.АГ,2024,1697.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2017,1072.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018,1141.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019,1791.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020,3727.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021,2445.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022,1388.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023,1034.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024,1781.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2025,3713.0
Производство прочих основных неорганических химических веществ,20.13,2024,815.0
Производство прочих основных неорганических химических веществ,20.13,2025,2651.0
Производство прочих основных органических химических веществ,20.14,2024,39.0
Производство прочих основных органических химических веществ,20.14,2025,126.0
Производство прочих химических органических основных веществ,20.14.7,2020,54.0
Производство прочих химических органических основных веществ,20.14.7,2021,42.0
Производство удобрений и азотных соединений,20.15,2017,168.0
Производство удобрений и азотных соединений,20.15,2018,172.0
Производство удобрений и азотных соединений,20.15,2019,130.0
Производство удобрений и азотных соединений,20.15,2020,79.0
Производство удобрений и азотных соединений,20.15,2021,76.0
Производство удобрений и азотных соединений,20.15,2024,93.0
Производство удобрений и азотных соединений,20.15,2025,98.0
Производство азотных минеральных или химических удобрений,20.15.3,2025,98.0
Производство пластмасс и синтетических смол в первичных формах,20.16,2024,755.0
Производство пластмасс и синтетических смол в первичных формах,20.16,2025,774.0
Среднетехнологичные высокого уровня виды деятельности,20.27.01.АГ,2024,53109.0
Среднетехнологичные высокого уровня виды деятельности,20.27.01.АГ,2025,46115.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2017,99.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018,108.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019,119.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020,116.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021,99.0
