sector,okved2,year,BDusage_s
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2023.0,1.0
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2024.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2021.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2023.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2024.0,
Сбор и заготовка недревесных лесных ресурсов,02.30.2,2021.0,
Сбор и заготовка недревесных лесных ресурсов,02.30.2,2023.0,
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2021.0,117.0
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2023.0,63.0
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024.0,46.0
Предоставление услуг в области лесоводства,02.40.1,2021.0,107.0
Предоставление услуг в области лесоводства,02.40.1,2023.0,55.0
Предоставление услуг в области лесоводства,02.40.1,2024.0,35.0
Предоставление услуг в области лесозаготовок,02.40.2,2021.0,2.0
Предоставление услуг в области лесозаготовок,02.40.2,2023.0,3.0
Предоставление услуг в области лесозаготовок,02.40.2,2024.0,1.0
Рыболовство и рыбоводство,03,2021.0,111.0
Рыболовство и рыбоводство,03,2023.0,41.0
Рыболовство и рыбоводство,03,2024.0,23.0
Рыболовство,03.1,2021.0,83.0
Рыболовство,03.1,2023.0,31.0
Рыболовство,03.1,2024.0,15.0
Рыболовство морское,03.11,2021.0,66.0
Рыболовство морское,03.11,2023.0,26.0
Рыболовство морское,03.11,2024.0,12.0
Рыболовство морское промышленное,03.11.1,2021.0,12.0
Рыболовство морское промышленное,03.11.1,2023.0,12.0
Рыболовство морское промышленное,03.11.1,2024.0,7.0
Рыболовство морское прибрежное,03.11.2,2021.0,2.0
Рыболовство морское прибрежное,03.11.2,2023.0,2.0
Рыболовство морское прибрежное,03.11.2,2024.0,1.0
Рыболовство пресноводное,03.12,2021.0,17.0
Рыболовство пресноводное,03.12,2023.0,5.0
Рыболовство пресноводное,03.12,2024.0,3.0
Рыболовство пресноводное промышленное,03.12.1,2021.0,5.0
Рыболовство пресноводное промышленное,03.12.1,2023.0,1.0
Рыболовство пресноводное промышленное,03.12.1,2024.0,2.0
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2021.0,1.0
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2023.0,
Рыболовство пресноводное в целях аквакультуры (рыбоводства),03.12.2,2024.0,
Рыболовство любительское и спортивное,03.12.3,2021.0,
Рыболовство любительское и спортивное,03.12.3,2023.0,
Рыболовство любительское и спортивное,03.12.3,2024.0,
"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",03.12.4,2021.0,3.0
"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",03.12.4,2024.0,
Рыбоводство,03.2,2021.0,28.0
Рыбоводство,03.2,2023.0,10.0
Рыбоводство,03.2,2024.0,8.0
Рыбоводство морское,03.21,2021.0,2.0
Рыбоводство морское,03.21,2023.0,
Рыбоводство морское,03.21,2024.0,1.0
Рыбоводство морское индустриальное,03.21.1,2021.0,1.0
Рыбоводство морское индустриальное,03.21.1,2023.0,
Рыбоводство морское индустриальное,03.21.1,2024.0,1.0
Рыбоводство морское пастбищное,03.21.2,2023.0,
Мелиорация рыбохозяйственная морских и минерализированных водных объектов,03.21.3,2023.0,
Мелиорация рыбохозяйственная морских и минерализированных водных объектов,03.21.3,2024.0,
Воспроизводство морских биоресурсов искусственное,03.21.4,2021.0,1.0
Воспроизводство морских биоресурсов искусственное,03.21.4,2023.0,
Воспроизводство морских биоресурсов искусственное,03.21.4,2024.0,
Рыбоводство пресноводное,03.22,2021.0,26.0
Рыбоводство пресноводное,03.22,2023.0,10.0
Рыбоводство пресноводное,03.22,2024.0,7.0
Рыбоводство пресноводное индустриальное,03.22.1,2021.0,4.0
Рыбоводство пресноводное индустриальное,03.22.1,2023.0,3.0
Рыбоводство пресноводное индустриальное,03.22.1,2024.0,2.0
Рыбоводство пресноводное пастбищное,03.22.2,2021.0,1.0
