region,okato,year,AIusage_r
Орловская область,54,2023,100
Орловская область,54,2024,78
Пензенская область,56,2021,98
Пензенская область,56,2022,158
Пензенская область,56,2023,125
Пензенская область,56,2024,145
Пермский край,57,2021,298
Пермский край,57,2022,218
Пермский край,57,2023,180
Пермский край,57,2024,183
Псковская область,58,2021,114
Псковская область,58,2022,122
Псковская область,58,2023,67
Псковская область,58,2024,74
Ростовская область,60,2021,393
Ростовская область,60,2022,400
Ростовская область,60,2023,269
Ростовская область,60,2024,332
Рязанская область,61,2021,143
Рязанская область,61,2022,189
Рязанская область,61,2023,135
Рязанская область,61,2024,126
Саратовская область,63,2021,263
Саратовская область,63,2022,304
Саратовская область,63,2023,233
Саратовская область,63,2024,245
Сахалинская область,64,2021,62
Сахалинская область,64,2022,107
Сахалинская область,64,2023,72
Сахалинская область,64,2024,85
Российская Федерация,643,2021,17142
Российская Федерация,643,2022,20599
Российская Федерация,643,2023,15320
Российская Федерация,643,2024,15174
Свердловская область,65,2021,493
Свердловская область,65,2022,529
Свердловская область,65,2023,431
Свердловская область,65,2024,379
Смоленская область,66,2021,263
Смоленская область,66,2022,126
Смоленская область,66,2023,96
Смоленская область,66,2024,123
Тамбовская область,68,2021,130
Тамбовская область,68,2022,167
Тамбовская область,68,2023,124
Тамбовская область,68,2024,135
Томская область,69,2021,135
Томская область,69,2022,178
Томская область,69,2023,123
Томская область,69,2024,108
Ставропольский край,7,2021,225
Ставропольский край,7,2022,337
Ставропольский край,7,2023,188
Ставропольский край,7,2024,194
Тульская область,70,2021,201
Тульская область,70,2022,217
Тульская область,70,2023,132
Тульская область,70,2024,123
Тюменская область,71,2021,574
Тюменская область,71,2022,423
Тюменская область,71,2023,404
Тюменская область,71,2024,400
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,226
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,175
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,158
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,175
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,245
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,173
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,174
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,142
Ямало-Ненецкий автономный округ (Тюменская область),7114,2021,103
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,75
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,72
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,83
Ульяновская область,73,2021,93
Ульяновская область,73,2022,192
Ульяновская область,73,2023,168
Ульяновская область,73,2024,111
Челябинская область,75,2021,399
Челябинская область,75,2022,379
Челябинская область,75,2023,250
Челябинская область,75,2024,279
Забайкальский край,76,2021,91
Забайкальский край,76,2022,134
Забайкальский край,76,2023,90
Забайкальский край,76,2024,75
Чукотский автономный округ,77,2021,21
Чукотский автономный округ,77,2022,19
Чукотский автономный округ,77,2023,6
Чукотский автономный округ,77,2024,11
Ярославская область,78,2021,220
Ярославская область,78,2022,264
Ярославская область,78,2023,196
Ярославская область,78,2024,133
Республика Адыгея (Адыгея),79,2021,72
Республика Адыгея (Адыгея),79,2022,108
Республика Адыгея (Адыгея),79,2023,95
Республика Адыгея (Адыгея),79,2024,69
Хабаровский край,8,2021,124
Хабаровский край,8,2022,84
Хабаровский край,8,2023,60
Хабаровский край,8,2024,92
Республика Башкортостан,80,2021,333
Республика Башкортостан,80,2022,423
Республика Башкортостан,80,2023,330
Республика Башкортостан,80,2024,391
Республика Бурятия,81,2021,67
Республика Бурятия,81,2022,115
Республика Бурятия,81,2023,124
Республика Бурятия,81,2024,102
Республика Дагестан,82,2021,145
Республика Дагестан,82,2022,150
Республика Дагестан,82,2023,145
Республика Дагестан,82,2024,161
Кабардино-Балкарская Республика,83,2021,48
Кабардино-Балкарская Республика,83,2022,70
Кабардино-Балкарская Республика,83,2023,84
Кабардино-Балкарская Республика,83,2024,91
Республика Алтай,84,2021,41
Республика Алтай,84,2022,52
Республика Алтай,84,2023,38
Республика Алтай,84,2024,33
Республика Калмыкия,85,2021,33
Республика Калмыкия,85,2022,58
Республика Калмыкия,85,2023,68
Республика Калмыкия,85,2024,59
Республика Карелия,86,2021,110
Республика Карелия,86,2022,76
Республика Карелия,86,2023,83
Республика Карелия,86,2024,100
Республика Коми,87,2021,120
Республика Коми,87,2022,83
Республика Коми,87,2023,64
Республика Коми,87,2024,66
Республика Марий Эл,88,2021,75
Республика Марий Эл,88,2022,125
Республика Марий Эл,88,2023,96
Республика Марий Эл,88,2024,114
Республика Мордовия,89,2021,81
Республика Мордовия,89,2022,116
