sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2021.0,0.0554489634218096,0.0603811280012107,0.0048842491523883,0.0652950735033899,-0.06411132362204877,-0.03385061091025868,2
Производство кокса и нефтепродуктов,19,2021.0,0.5401660077341736,0.0749648539642102,0.0091111759278748,0.004390845145976,-0.059915267655136606,-0.03776416195209745,2
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2022.0,0.2465766929656796,0.2629314882541559,0.0627192229869731,0.0321313758689655,0.023759209403636156,0.13915948454684257,0
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024.0,0.0842067922485098,0.0216565227360469,0.0588881822151099,0.0143976424959326,-0.01886024927149968,-0.09349363096731131,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2023.0,0.2435730839612414,0.3161486587668915,0.0454773928914437,0.2157679464849768,0.022047795836690184,0.2436595546941545,3
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2024.0,0.8732092099056852,0.0695480253702061,0.0689488201156709,0.0099188512373768,-0.0015238431830769117,-0.051059827839360195,2
Производство молочной продукции,10.5,2024.0,0.0510497167198659,0.0684106396426373,0.0283346858025827,0.0226778673478698,-0.04129938003787224,-0.04197478868002365,2
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,0.1680866435292446,0.1536225935368651,0.3760365025737699,0.0170616836992303,0.3150472996972036,-0.019362542330602542,1
"Производство, передача и распределение электроэнергии",35.1,2023.0,0.1659280913035983,0.3762414694752876,0.0486841891029174,0.1715523081966564,0.03306313946683938,0.2876424509555186,3
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2022.0,0.0211959131629932,0.0838248282228622,0.0243204598905979,0.0118546742350979,-0.04322687338219756,-0.029762655314494263,2
