sector,okved2,year,pBDusage_s
Рыбоводство пресноводное индустриальное,03.22.1,2024.0,0.16666666666666666
Рыбоводство пресноводное пастбищное,03.22.2,2021.0,1.0
Рыбоводство пресноводное пастбищное,03.22.2,2023.0,0.3333333333333333
Рыбоводство пресноводное пастбищное,03.22.2,2024.0,
Рыбоводство прудовое,03.22.3,2021.0,0.4444444444444444
Рыбоводство прудовое,03.22.3,2023.0,0.1
Рыбоводство прудовое,03.22.3,2024.0,
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2021.0,0.5
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2023.0,
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2024.0,0.16666666666666666
Деятельность по пресноводному рыбоводству прочая,03.22.9,2021.0,
Деятельность по пресноводному рыбоводству прочая,03.22.9,2023.0,
Деятельность по пресноводному рыбоводству прочая,03.22.9,2024.0,
Добыча угля,05,2021.0,0.4883720930232558
Добыча угля,05,2023.0,0.16393442622950818
Добыча угля,05,2024.0,0.07881773399014778
Добыча и обогащение угля и антрацита,05.10,2021.0,0.5138888888888888
Добыча и обогащение угля и антрацита,05.10,2023.0,0.16666666666666666
