sector,okved2,year,pPCusage_s
Разведение лабораторных животных,01.49.6,2022.0,1.0
Разведение лабораторных животных,01.49.6,2023.0,1.0
Разведение лабораторных животных,01.49.6,2024.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2021.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2022.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2023.0,1.0
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2024.0,1.0
Смешанное сельское хозяйство,01.5,2019.0,1.0
Смешанное сельское хозяйство,01.50,2021.0,1.0
Смешанное сельское хозяйство,01.50,2022.0,0.9897959183673469
Смешанное сельское хозяйство,01.50,2023.0,0.9479166666666666
Смешанное сельское хозяйство,01.50,2024.0,0.8739495798319328
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2019.0,1.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021.0,1.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2022.0,0.9981447124304267
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023.0,0.9773584905660377
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024.0,0.9466666666666667
Предоставление услуг в области растениеводства,01.61,2021.0,1.0
Предоставление услуг в области растениеводства,01.61,2022.0,0.998003992015968
Предоставление услуг в области растениеводства,01.61,2023.0,0.9836065573770492
Предоставление услуг в области растениеводства,01.61,2024.0,0.9647302904564315
Предоставление услуг в области животноводства,01.62,2021.0,1.0
Предоставление услуг в области животноводства,01.62,2022.0,1.0
Предоставление услуг в области животноводства,01.62,2023.0,0.8666666666666667
Предоставление услуг в области животноводства,01.62,2024.0,0.6428571428571429
Деятельность сельскохозяйственная после сбора урожая,01.63,2021.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2022.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2023.0,1.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2024.0,1.0
Обработка семян для посадки,01.64,2021.0,1.0
Обработка семян для посадки,01.64,2022.0,1.0
Обработка семян для посадки,01.64,2023.0,1.0
Обработка семян для посадки,01.64,2024.0,0.9090909090909091
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2019.0,1.0
